slide_no,title,subtitle,primary_sources,notes
1,Traceable Predictive Maintenance for NASA C-MAPSS,"An end-to-end PHM application with calibrated RUL prediction, deterministic risk logic, and auditable scenarios",doc/paper/main.tex; README.md,Open by framing the project as both a PHM study and a working AI system.
2,Motivation and Problem,Why point RUL prediction alone is not enough,doc/paper/main.tex; doc/paper/04_discussion.md,Use this slide to motivate the move from model-only research to system-level PHM support.
3,NASA C-MAPSS Context,Run-to-failure trajectories across four benchmark subsets,data/readme.txt; doc/paper/main.tex,Summarize the benchmark and remind the audience this is a cycle-based degradation problem.
4,Project Objectives and Contributions,What this system adds beyond benchmark prediction,doc/paper/main.tex; doc/paper/03_results.md,"Make the contribution split explicit: prediction, decision support, user interface, and traceability."
5,System Architecture,Contract-driven Predictive -> Agent -> Dashboard stack,doc/paper/main.tex; out/dashboard_layer/01_ui_backend_contract_v1.json,Explain the layer boundaries and stress that contracts and service states are explicit.
6,Data and Preprocessing,From raw C-MAPSS rows to model-ready features,out/eda/05_preprocessing_config.json; out/eda/04_target_definition.txt,"Keep this practical: feature selection, scaling, and target policy are what matter for the deployed system."
7,Predictive Layer and Champion Selection,RF deployed despite GRU best raw RMSE (17.42 vs RF 18.31),out/predictive_layer/champion_record.json; out/predictive_layer/04_metrics_global_by_model.csv; out/predictive_layer/04_latency_by_model.csv,The main lesson is that the best benchmark model was not automatically the best deployed system model.
8,Agent Layer and Deterministic Decision Logic,"How RUL becomes risk, recommendations, and auditable scenario behavior",src/agent_layer/risk_engine.py; src/agent_layer/orchestrator.py; out/agent_layer/06_scenario_assistant_policy.txt,Stress that the decision layer remains deterministic even when an LLM is available.
9,Dashboard Layer and User Workflow,"The UI operationalizes prediction, explanation, scenarios, and auditability",fig/dashboard/dashboard_v1_4.png; fig/dashboard/dashboard_v1_5.png; fig/dashboard/dashboard_v1_8.png; fig/dashboard/dashboard_v1_9.png,"Use the screenshots as evidence that the integrated system is implemented, not only described."
10,Experiments and Results,"Evidence combines prediction quality, stability, and engineering tradeoffs",out/predictive_layer/04_metrics_global_by_model.csv; out/predictive_layer/04_metrics_by_dataset_by_model.csv; out/predictive_layer/04_latency_by_model.csv,Keep the framing evidence-based: show both performance and deployability tradeoffs.
11,Scenarios and Interpretability,Deterministic what-if analysis with optional non-central LLM assistance,out/agent_layer/05_scenario_examples.json; data/test_input_reference.md,"Explain that low-impact scenario outcomes are often a model-feature and local-sensitivity issue, not a parser failure."
12,Engineering Constraints,"Deployment decisions were shaped by cost, latency, safety, reliability, and traceability",out/agent_layer/08_failure_modes.txt; out/predictive_layer/08_deploy_checklist.txt; out/dashboard_layer/08_state_handling_guide.txt,This slide is where the engineering maturity of the project should become obvious.
13,Limitations and Future Work,What the current system does well and where it still needs extension,doc/paper/04_discussion.md; out/predictive_layer/08_residual_risks.md,Be explicit and honest here; it strengthens the credibility of the rest of the deck.
14,Conclusion,"The project demonstrates a deployable and traceable PHM system, not only a benchmark model",doc/paper/main.tex; doc/paper/04_conclusion.md,Close by joining the scientific and engineering contributions into one claim.
15,Backup / Appendix,Extra evidence for Q&A,environment.yml; USER_GUIDE.md; out/dashboard_layer/03_mapping_fields_table.csv,"Use this only when questions go deeper into reproducibility, traceability, or failure cases."
